GROUP,PROJ,,,,,,,,,,
HEADING,PROJ_ID,PROJ_NAME,PROJ_LAT,PROJ_LON,PROJ_ELEV,PROJ_GEOL,PROJ_REM,,,,
DATA,CPT_26000,10.19,14.9,0.0896,0.0758,,,,,,
DATA,CPT_26000,10.2,14.94,0.0896,0.076,,,,,,
DATA,CPT_26000,10.21,14.98,0.091,0.0758,,,,,,
DATA,CPT_26000,10.22,14.91,0.0933,0.0756,,,,,,
DATA,CPT_26000,10.23,14.89,0.094,0.0757,,,,,,
DATA,CPT_26000,10.24,14.9,0.095,0.0758,,,,,,
DATA,CPT_26000,10.25,15.03,0.0971,0.0761,,,,,,
DATA,CPT_26000,10.26,15.18,0.0975,0.076,,,,,,
DATA,CPT_26000,10.27,15.3,0.0988,0.0762,,,,,,
DATA,CPT_26000,10.28,15.46,0.1003,0.0762,,,,,,
DATA,CPT_26000,10.29,15.73,0.1037,0.0763,,,,,,
DATA,CPT_26000,10.3,15.86,0.1025,0.0766,,,,,,
DATA,CPT_26000,10.31,15.92,0.1032,0.0763,,,,,,
DATA,CPT_26000,10.32,15.91,0.1036,0.0757,,,,,,
DATA,CPT_26000,10.33,15.86,0.1043,0.0754,,,,,,
DATA,CPT_26000,10.34,15.7,0.1063,0.0755,,,,,,
DATA,CPT_26000,10.35,15.61,0.1072,0.0752,,,,,,
DATA,CPT_26000,10.36,15.54,0.1091,0.0752,,,,,,
DATA,CPT_26000,10.37,15.53,0.11,0.0753,,,,,,
DATA,CPT_26000,10.38,15.6,0.1117,0.0757,,,,,,
DATA,CPT_26000,10.39,15.68,0.1128,0.0757,,,,,,
DATA,CPT_26000,10.4,15.73,0.1137,0.076,,,,,,
DATA,CPT_26000,10.41,15.77,0.1145,0.0761,,,,,,
DATA,CPT_26000,10.42,15.86,0.1145,0.0765,,,,,,
DATA,CPT_26000,10.43,15.91,0.1149,0.0763,,,,,,
DATA,CPT_26000,10.44,15.96,0.1148,0.0764,,,,,,
DATA,CPT_26000,10.45,16.06,0.1144,0.0764,,,,,,
DATA,CPT_26000,10.46,16.24,0.1148,0.0766,,,,,,
DATA,CPT_26000,10.47,16.62,0.1151,0.0769,,,,,,
DATA,CPT_26000,10.48,16.88,0.1141,0.0769,,,,,,
DATA,CPT_26000,10.49,17.39,0.1152,0.0776,,,,,,
DATA,CPT_26000,10.5,17.61,0.1154,0.0778,,,,,,
DATA,CPT_26000,10.51,17.77,0.116,0.078,,,,,,
DATA,CPT_26000,10.52,17.81,0.1168,0.0778,,,,,,
DATA,CPT_26000,10.53,17.75,0.1174,0.0777,,,,,,
DATA,CPT_26000,10.54,17.72,0.1187,0.078,,,,,,
DATA,CPT_26000,10.55,17.61,0.1212,0.0782,,,,,,
DATA,CPT_26000,10.56,17.61,0.1212,0.0782,,,,,,
DATA,CPT_26000,10.57,17.61,0.1212,0.0782,,,,,,
DATA,CPT_26000,10.58,18.92,0.113,0.0805,,,,,,
DATA,CPT_26000,10.59,19.22,0.1181,0.0804,,,,,,
DATA,CPT_26000,10.6,19.93,0.1254,0.0804,,,,,,
DATA,CPT_26000,10.61,20.36,0.1296,0.08,,,,,,
DATA,CPT_26000,10.62,20.84,0.1329,0.0797,,,,,,
DATA,CPT_26000,10.63,21.34,0.1353,0.0788,,,,,,
DATA,CPT_26000,10.64,22.24,0.1426,0.0791,,,,,,
DATA,CPT_26000,10.65,22.66,0.1464,0.08,,,,,,
DATA,CPT_26000,10.66,23,0.1488,0.0802,,,,,,
DATA,CPT_26000,10.67,23.26,0.15,0.0808,,,,,,
DATA,CPT_26000,10.68,23.47,0.1534,0.0814,,,,,,
DATA,CPT_26000,10.69,23.8,0.1593,0.0808,,,,,,
DATA,CPT_26000,10.7,23.93,0.1607,0.0789,,,,,,
DATA,CPT_26000,10.71,23.94,0.1636,0.0783,,,,,,
DATA,CPT_26000,10.72,24.04,0.1666,0.0777,,,,,,
DATA,CPT_26000,10.73,24,0.1707,0.0755,,,,,,
DATA,CPT_26000,10.74,23.96,0.1728,0.0739,,,,,,
DATA,CPT_26000,10.75,23.97,0.1759,0.0729,,,,,,
DATA,CPT_26000,10.76,23.9,0.1771,0.0727,,,,,,
DATA,CPT_26000,10.77,23.7,0.1817,0.0729,,,,,,
DATA,CPT_26000,10.78,23.63,0.1845,0.0718,,,,,,
DATA,CPT_26000,10.79,23.46,0.1864,0.0729,,,,,,
DATA,CPT_26000,10.8,23.42,0.1889,0.0728,,,,,,
DATA,CPT_26000,10.81,23.38,0.1892,0.0723,,,,,,
DATA,CPT_26000,10.82,23.34,0.1914,0.0726,,,,,,
DATA,CPT_26000,10.83,23.4,0.1923,0.0709,,,,,,
DATA,CPT_26000,10.84,23.48,0.1941,0.0715,,,,,,
DATA,CPT_26000,10.85,23.68,0.1935,0.0719,,,,,,
DATA,CPT_26000,10.86,24.05,0.1931,0.0719,,,,,,
DATA,CPT_26000,10.87,24.22,0.1936,0.0722,,,,,,
DATA,CPT_26000,10.88,24.33,0.1945,0.0726,,,,,,
DATA,CPT_26000,10.89,24.358,0.1882,0.0728,,,,,,
DATA,CPT_26000,10.9,24.387,0.1819,0.0729,,,,,,
DATA,CPT_26000,10.91,24.415,0.1756,0.0731,,,,,,
DATA,CPT_26000,10.92,24.443,0.1692,0.0733,,,,,,
DATA,CPT_26000,10.93,24.472,0.1629,0.0735,,,,,,
DATA,CPT_26000,10.94,24.5,0.1566,0.0736,,,,,,
DATA,CPT_26000,10.95,24.48,0.1609,0.0733,,,,,,
DATA,CPT_26000,10.96,24.5,0.165,0.0712,,,,,,
DATA,CPT_26000,10.97,24.52,0.1702,0.0683,,,,,,
